
accession,gene,class
P41143,OPRD1,A
P41145,OPRK1,A
P41146,OPRL1,A
P41180,CASR,C
P41231,P2RY2,A
P41586,ADCYAP1R1,B1
P41587,VIPR2,B1
P41594,GRM5,C
P41595,HTR2B,A
P41597,CCR2,A
P41968,MC3R,A
P43088,PTGFR,A
P43115,PTGER3,A
P43116,PTGER2,A
P43119,PTGIR,A
P43220,GLP1R,B1
P43657,LPAR6,A
P46089,GPR3,A
P46091,CMKLR2,A
P46092,CCR10,A
P46093,GPR4,A
P46094,XCR1,A
P46663,BDKRB1,A
P47211,GALR1,A
P47804,RGR,A
P47871,GCGR,B1
P47872,SCTR,B1
P47898,HTR5A,A
P47900,P2RY1,A
P47901,AVPR1B,A
P48039,MTNR1A,A
P48145,NPBWR1,A
P48146,NPBWR2,A
P48546,GIPR,B1
P48960,ADGRE5,B2
P49019,HCAR3,A
P49146,NPY2R,A
P49190,PTH2R,B1
P49238,CX3CR1,A
P49286,MTNR1B,A
P49682,CXCR3,A
P49683,PRLHR,A
P49685,GPR15,A
P50052,AGTR2,A
P50391,NPY4R,A
P50406,HTR6,A
P51582,P2RY4,A
P51677,CCR3,A
P51679,CCR4,A
P51681,CCR5,A
P51684,CCR6,A
P51685,CCR8,A
P51686,CCR9,A
P51810,GPR143,A
P55085,F2RL1,A
P59542,TAS2R19,A
P61073,CXCR4,A
Q01718,MC2R,A
Q01726,MC1R,A
Q02643,GHRHR,B1
Q03431,PTH1R,B1
Q13255,GRM1,C
Q13258,PTGDR,A
Q13304,GPR17,A
Q13324,CRHR2,B1
Q13467,FZD5,F
Q13585,GPR50,A
Q13639,HTR4,A
Q14246,ADGRE1,B2
Q14330,GPR18,A
Q14332,FZD2,F
Q14416,GRM2,C
Q14831,GRM7,C
Q14832,GRM3,C
Q14833,GRM4,C
Q15077,P2RY6,A
Q15722,LTB4R,A
Q15743,GPR68,A
Q15761,NPY5R,A
Q16570,ACKR1,A
Q16581,C3AR1,A
Q16602,CALCRL,B1
Q5NUL3,FFAR4,A
Q5T601,ADGRF1,B2
Q5T6X5,GPRC6A,C
Q5T848,GPR158,A
Q6PRD1,GPR179,A
Q6QNK2,ADGRD1,B2
Q6U736,OPN5,A
Q6W5P4,NPSR1,A
Q7RTX0,TAS1R3,C
Q7RTX1,TAS1R1,C
Q7Z602,GPR141,A
Q86SQ3,ADGRE4P,B2
Q86SQ4,ADGRG6,B2
Q86SQ6,ADGRA1,B2
Q86VZ1,P2RY8,A
Q86Y34,ADGRG3,B2
Q8IWK6,ADGRA3,B2
Q8IYL9,GPR65,A
Q8IZ08,GPR135,A
Q8IZF2,ADGRF5,B2
Q8IZF3,ADGRF4,B2
Q8IZF4,ADGRG5,B2
Q8IZF5,ADGRF3,B2
Q8IZF6,ADGRG4,B2
Q8IZF7,ADGRF2P,B2
Q8IZP9,ADGRG2,B2
Q8N6U8,GPR161,A
Q8NFJ5,GPRC5A,A
Q8NFJ6,PROKR2,A
Q8NFN8,GPR156,A
Q8NG98,OR7D4,A
Q8NGI8,OR5AN1,A
Q8NHC4,OR10J5,A
Q8TDS4,HCAR2,A
Q8TDS5,OXER1,A
Q8TDT2,GPR152,A
Q8TDU6,GPBAR1,A
Q8TDV0,GPR151,A
Q8TE23,TAS1R2,C
Q8WXD0,RXFP2,A
Q8WXG9,ADGRV1,B2
Q92633,LPAR1,A
Q92847,GHSR,A
Q969F8,KISS1R,A
Q96G91,P2RY11,A
Q96K78,ADGRG7,B2
Q96KK4,OR10C1,A
Q96LB1,MRGPRX2,A
Q96LB2,MRGPRX1,A
Q96P65,QRFPR,A
Q96P66,GPR101,A
Q96P68,OXGR1,A
Q96PE1,ADGRA2,B2
Q96RI0,F2RL3,A
Q96RI8,TAAR6,A
Q96RJ0,TAAR1,A
Q99500,S1PR3,A
Q99527,GPER1,A
Q99677,LPAR4,A
Q99705,MCHR1,A
Q99788,CMKLR1,A
Q99835,SMO,F
Q9BPV8,P2RY13,A
Q9BXA5,SUCNR1,A
Q9BXB1,LGR4,A
Q9BXC0,HCAR1,A
Q9BXC1,GPR174,A
Q9BY15,ADGRE3,B2
Q9BZJ7,GPR62,A
Q9BZJ8,GPR61,A
Q9GZN0,GPR88,A
Q9GZQ4,NMUR2,A
Q9GZQ6,NPFFR1,A
Q9H1Y3,OPN3,A
Q9H228,S1PR5,A
Q9H244,P2RY12,A
Q9H255,OR51E2,A
Q9H3N8,HRH4,A
Q9H461,FZD8,F
Q9HAR2,ADGRL3,B2
Q9HB89,NMUR1,A
Q9HBW0,LPAR2,A
Q9HBW9,ADGRL4,B2
Q9HBX8,LGR6,A
Q9HBX9,RXFP1,A
Q9HC97,GPR35,A
Q9HCU4,CELSR2,A
Q9NPB9,ACKR4,A
Q9NPC1,LTB4R2,A
Q9NPG1,FZD3,F
Q9NQ84,GPRC5C,A
Q9NQS5,GPR84,A
Q9NS75,CYSLTR2,A
Q9NYM4,GPR83,A
Q9NYQ6,CELSR1,A
Q9NYQ7,CELSR3,A
Q9NYV7,TAS2R16,A
Q9NYV8,TAS2R14,A
Q9NYW0,TAS2R10,A
Q9NYW4,TAS2R5,A
Q9NYW5,TAS2R4,A
Q9NZD1,GPRC5D,A
Q9NZH0,GPRC5B,A
Q9P296,C5AR2,A
Q9UBS5,GABBR1,C
Q9UBY5,LPAR3,A
Q9UHM6,OPN4,A
Q9UHX3,ADGRE2,B2
Q9UKP6,UTS2R,A
Q9ULV1,FZD4,F
Q9ULW2,FZD10,F
Q9UNW8,GPR132,A
Q9UP38,FZD1,F
Q9Y271,CYSLTR1,A
Q9Y2T6,GPR55,A
Q9Y5N1,HRH3,A
Q9Y5X5,NPFFR2,A
Q9Y5Y4,PTGDR2,A
Q9Y653,ADGRG1,B2
A4D2G3,OR2A25,A
A6ND48,OR14I1,A
A6NGY5,OR51F1,A
A6NH00,OR2T8,A
A6NND4,OR2AT4,A
O00398,P2RY10,A
O14626,GPR171,A
O14718,RRH,A
O15218,GPR182,A
O60412,OR7C2,A
O75388,GPR32,A
O76001,OR2J3,A
O76002,OR2J2,A
O76099,OR7C1,A
O95007,OR6B1,A
O95222,OR6A2,A
O95371,OR2C1,A
O95665,NTSR2,A
O95800,GPR75,A
O95838,GLP2R,B1
O95918,OR2H2,A
P0C645,OR4E1,A
P0DN77,OPN1MW2,A
P0DN78,OPN1MW3,A
P30953,OR1E1,A
P30954,OR10J1,A
P35410,MAS1L,A
P46095,GPR6,A
P47775,GPR12,A
P47883,OR3A4P,A
P47887,OR1E2,A
P47888,OR3A3,A
P47890,OR1G1,A
P47893,OR3A2,A
P58173,OR2B6,A
P58182,OR12D2,A
P59533,TAS2R38,A
P59534,TAS2R39,A
P59535,TAS2R40,A
P59537,TAS2R43,A
P59538,TAS2R31,A
P59540,TAS2R46,A
P59543,TAS2R20,A
P60893,GPR85,A
Q13606,OR5I1,A
Q13607,OR2F1,A
Q14439,GPR176,A
Q15391,P2RY14,A
Q15612,OR1Q1,A
Q15617,OR8G1,A
Q15620,OR8B8,A
Q15760,GPR19,A
Q16538,GPR162,A
Q49SQ1,GPR33,A
Q50KZ9,TAS2R2,A
Q6DWJ6,GPR139,A
Q6IFH4,OR6B2,A
Q7RTR8,TAS2R42,A
Q7Z3T1,OR2W3,A
Q7Z5H4,VN1R5,A
Q7Z5H5,VN1R4,A
Q7Z601,GPR142,A
Q7Z7M1,ADGRD2,B2
Q86SP6,GPR149,A
Q8N628,OR2C3,A
Q8NDV2,GPR26,A
Q8NG84,OR2AK2,A
Q8NGA0,OR7G1,A
Q8NGA4,GPR32P1,A
Q8NGC8,OR11H7,A
Q8NGD0,OR4M1,A
Q8NGE3,OR10P1,A
Q8NGG2,OR5T2,A
Q8NGH7,OR52L1,A
Q8NGI2,OR52N4,A
Q8NGK2,OR52B4,A
Q8NGM9,OR8D4,A
Q8NGN3,OR10G4,A
Q8NGN6,OR10G7,A
Q8NGQ1,OR9G4,A
Q8NGR2,OR1L6,A
Q8NGR6,OR1B1,A
Q8NGS2,OR1J2,A
Q8NGS8,OR13C5,A
Q8NGT0,OR13C9,A
Q8NGV6,OR5H6,A
Q8NGW1,OR6B3,A
Q8NGW6,OR6K6,A
Q8NGX3,OR10T2,A
Q8NGY0,OR10X1,A
Q8NGY3,OR6K3,A
Q8NH19,OR10AG1,A
Q8NH43,OR4L1,A
Q8NH48,OR5B3,A
Q8NH59,OR51Q1,A
Q8NH69,OR5W2,A
Q8NH85,OR8U3,A
Q8NH87,OR9G1,A
Q8NH92,OR1S1,A
Q8NH94,OR1L1,A
Q8NHC8,OR2T6,A
Q8TCB6,OR51E1,A
Q8TCW9,PROKR1,A
Q8TDS7,MRGPRD,A
Q8TDU9,RXFP4,A
Q8TDV2,GPR148,A
Q8TDV5,GPR119,A
Q8WZ84,OR8D1,A
Q8WZ94,OR5P3,A
Q8WZA6,OR1E3,A
Q969N4,TAAR8,A
Q969V1,MCHR2,A
Q96AM1,MRGPRF,A
Q96CH1,GPR146,A
Q96LA9,MRGPRX4,A
Q96P69,GPR78,A
Q96R48,OR2A5,A
Q96RA2,OR7D2,A
Q96RI9,TAAR9,A
Q99678,GPR20,A
Q9BY21,GPR87,A
Q9BZJ6,GPR63,A
Q9GZK4,OR2H1,A
Q9GZK6,OR2J1,A
Q9GZM6,OR8D2,A
Q9GZP7,VN1R1,A
Q9H1C0,LPAR5,A
Q9H205,OR2AG1,A
Q9H207,OR10A5,A
Q9H208,OR10A2,A
Q9H209,OR10A4,A
Q9H210,OR2D2,A
Q9H339,OR51B5,A
Q9H340,OR51B6,A
Q9H341,OR51M1,A
Q9H342,OR51J1,A
Q9NQN1,OR2S2,A
Q9NS66,GPR173,A
Q9NSD7,RXFP3,A
Q9NYV9,TAS2R13,A
Q9NYW1,TAS2R9,A
Q9NYW2,TAS2R8,A
Q9NYW3,TAS2R7,A
Q9NYW6,TAS2R3,A
Q9NYW7,TAS2R1,A
Q9UJ42,GPR160,A
Q9UKL2,OR52A1,A
Q9UPC5,GPR34,A
Q9Y2T5,GPR52,A
Q9Y585,OR1A2,A
Q9Y5P1,OR51B2,A
Q9Y5Y3,GPR45,A
A0A2R8YED5,OR5BS1,A
A0A3B3IT45,OR51C1,A
A3KFT3,OR2M5,A
A6NCV1,OR6C74,A
A6NDH6,OR5H15,A
A6NDL8,OR6C68,A
A6NET4,OR5K3,A
A6NF89,OR6C6,A
A6NFC9,OR2W5P,A
A6NHA9,OR4C46,A
A6NHG9,OR5H14,A
A6NIJ9,OR6C70,A
A6NJZ3,OR6C65,A
A6NKK0,OR5H1,A
A6NL08,OR6C75,A
A6NL26,OR5B21,A
A6NM03,OR2AG2,A
A6NM76,OR6C76,A
A6NMS3,OR5K4,A
A6NMU1,OR52A4P,A
A6NMZ5,OR4C45,A
B2RN74,OR11H12,A
O14581,OR7A17,A
O43869,OR2T1,A
O60403,OR10H2,A
O60404,OR10H3,A
O60431,OR1I1,A
O76000,OR2B3,A
O76100,OR7A10,A
O95006,OR2F2,A
O95013,OR4F21,A
O95221,OR5F1,A
P0C604,OR4A8,A
P0C617,OR5AL1,A
P0C623,OR4Q2,A
P0C626,OR5G3,A
P0C628,OR5AC1,A
P0C629,OR10J4,A
P0C646,OR52Z1P,A
P0C7N1,OR8U8,A
P0C7T2,OR2T7,A
P0C7T3,OR56A5,A
P0DMU2,OR8G3,A
P0DN80,OR5H8,A
P0DN82,OR12D1,A
P0DQD5,NPY4R2,A
P47881,OR3A1,A
P47884,OR1D4,A
P58170,OR1D5,A
P58180,OR4D2,A
P58181,OR10A3,A
P59536,TAS2R41,A
P59539,TAS2R45,A
P59541,TAS2R30,A
P59544,TAS2R50,A
P59551,TAS2R60,A
P59922,OR2B8,A
Q15615,OR4D1,A
Q15619,OR1C1,A
Q15622,OR7A5,A
Q5JQS5,OR2B11,A
Q5JRS4,OR10J3,A
Q5TZ20,OR2G6,A
Q5UAW9,GPR157,A
Q6IEU7,OR5M10,A
Q6IEV9,OR4C11,A
Q6IEY1,OR4F3,A
Q6IEZ7,OR2T5,A
Q6IF00,OR2T2,A
Q6IF36,OR8G2P,A
Q6IF42,OR2A2,A
Q6IF63,OR52W1,A
Q6IF82,OR4A47,A
Q6IF99,OR10K2,A
Q6IFG1,OR52E8,A
Q6IFN5,OR7E24,A
Q6NV75,GPR153,A
Q6UXT6,OR9H1,A
Q86SM5,MRGPRG,A
Q86SM8,MRGPRE,A
Q8IXE1,OR4N5,A
Q8N0Y3,OR4N4,A
Q8N0Y5,OR8I2,A
Q8N127,OR5AS1,A
Q8N146,OR8H3,A
Q8N148,OR6V1,A
Q8N162,OR8H2,A
Q8N349,OR2L13,A
Q8NFZ6,VN1R2,A
Q8NG75,OR5T1,A
Q8NG76,OR2T33,A
Q8NG77,OR2T12,A
Q8NG78,OR8G5,A
Q8NG80,OR2L5,A
Q8NG81,OR2M7,A
Q8NG83,OR2M3,A
Q8NG85,OR2L3,A
Q8NG92,OR13H1,A
Q8NG94,OR11H1,A
Q8NG95,OR7G3,A
Q8NG97,OR2Z1,A
Q8NG99,OR7G2,A
Q8NGA1,OR1M1,A
Q8NGA2,OR7A2P,A
Q8NGA5,OR10H4,A
Q8NGA6,OR10H5,A
Q8NGA8,OR4F17,A
Q8NGB2,OR4C5,A
Q8NGB4,OR4S1,A
Q8NGB6,OR4M2,A
Q8NGB8,OR4F15,A
Q8NGB9,OR4F6,A
Q8NGC0,OR5AU1,A
Q8NGC1,OR11G2,A
Q8NGC2,OR4E2,A
Q8NGC3,OR10G2,A
Q8NGC4,OR10G3,A
Q8NGC5,OR6J1,A
Q8NGC6,OR4K17,A
Q8NGC7,OR11H6,A
Q8NGC9,OR11H4,A
Q8NGD1,OR4N2,A
Q8NGD2,OR4K2,A
Q8NGD3,OR4K5,A
Q8NGD4,OR4K1,A
Q8NGD5,OR4K14,A
Q8NGE0,OR10AD1,A
Q8NGE1,OR6C4,A
Q8NGE2,OR2AP1,A
Q8NGE5,OR10A7,A
Q8NGE7,OR9K2,A
Q8NGE8,OR4D9,A
Q8NGE9,OR9Q2,A
Q8NGF0,OR52B6,A
Q8NGF1,OR52R1,A
Q8NGF3,OR51D1,A
Q8NGF4,OR5AP2,A
Q8NGF6,OR10W1,A
Q8NGF7,OR5B17,A
Q8NGF8,OR4B1,A
Q8NGF9,OR4X2,A
Q8NGG0,OR8J3,A
Q8NGG1,OR8J2,A
Q8NGG3,OR5T3,A
Q8NGG4,OR8H1,A
Q8NGG5,OR8K1,A
Q8NGG6,OR8B12,A
Q8NGG7,OR8A1,A
Q8NGG8,OR8B3,A
Q8NGH3,OR2D3,A
Q8NGH5,OR56A1,A
Q8NGH6,OR52L2P,A
Q8NGH8,OR56A4,A
Q8NGH9,OR52E4,A
Q8NGI0,OR52N2,A
Q8NGI1,OR56B2,A
Q8NGI3,OR56B1,A
Q8NGI4,OR4D11,A
Q8NGI6,OR4D10,A
Q8NGI7,OR10V1,A
Q8NGI9,OR5A2,A
Q8NGJ0,OR5A1,A
Q8NGJ1,OR4D6,A
Q8NGJ2,OR52H1,A
Q8NGJ3,OR52E1,A
Q8NGJ4,OR52E2,A
Q8NGJ5,OR51L1,A
Q8NGJ6,OR51A4,A
Q8NGJ7,OR51A2,A
Q8NGJ8,OR51S1,A
Q8NGJ9,OR51T1,A
Q8NGK0,OR51G2,A
Q8NGK1,OR51G1,A
Q8NGK3,OR52K2,A
Q8NGK4,OR52K1,A
Q8NGK5,OR52M1,A
Q8NGK6,OR52I1,A
Q8NGK9,OR5D16,A
Q8NGL0,OR5L2,A
Q8NGL1,OR5D18,A
Q8NGL2,OR5L1,A
Q8NGL3,OR5D14,A
Q8NGL4,OR5D13,A
Q8NGL6,OR4A15,A
Q8NGL7,OR4P4,A
Q8NGL9,OR4C16,A
Q8NGM1,OR4C15,A
Q8NGM8,OR6M1,A
Q8NGN0,OR4D5,A
Q8NGN1,OR6T1,A
Q8NGN2,OR10S1,A
Q8NGN4,OR10G9,A
Q8NGN5,OR10G8,A
Q8NGN7,OR10D4P,A
Q8NGN8,OR4A4P,A
Q8NGP0,OR4C13,A
Q8NGP2,OR8J1,A
Q8NGP3,OR5M9,A
Q8NGP4,OR5M3,A
Q8NGP6,OR5M8,A
Q8NGP8,OR5M1,A
Q8NGP9,OR5AR1,A
Q8NGQ2,OR6Q1,A
Q8NGQ3,OR1S2,A
Q8NGQ4,OR10Q1,A
Q8NGQ5,OR9Q1,A
Q8NGQ6,OR9I1,A
Q8NGR1,OR13A1,A
Q8NGR3,OR1K1,A
Q8NGR4,OR5C1,A
Q8NGR5,OR1L4,A
Q8NGR8,OR1L8,A
Q8NGR9,OR1N2,A
Q8NGS0,OR1N1,A
Q8NGS1,OR1J4,A
Q8NGS3,OR1J1,A
Q8NGS4,OR13F1,A
Q8NGS5,OR13C4,A
Q8NGS6,OR13C3,A
Q8NGS7,OR13C8,A
Q8NGS9,OR13C2,A
Q8NGT1,OR2K2,A
Q8NGT2,OR13J1,A
Q8NGT5,OR9A2,A
Q8NGT7,OR2A12,A
Q8NGT9,OR2A1,A
Q8NGU1,OR9A1P,A
Q8NGU2,OR9A4,A
Q8NGU4,OR2I1,A
Q8NGU9,GPR150,A
Q8NGV0,OR2Y1,A
Q8NGV5,OR13D1,A
Q8NGV7,OR5H2,A
Q8NGX0,OR11L1,A
Q8NGX1,OR2T34,A
Q8NGX2,OR2T35,A
Q8NGX5,OR10K1,A
Q8NGX6,OR10R2,A
Q8NGX8,OR6Y1,A
Q8NGX9,OR6P1,A
Q8NGY1,OR10Z1,A
Q8NGY2,OR6K2,A
Q8NGY5,OR6N1,A
Q8NGY6,OR6N2,A
Q8NGY7,OR10J6P,A
Q8NGY9,OR2L8,A
Q8NGZ0,OR2AJ1,A
Q8NGZ2,OR14K1,A
Q8NGZ3,OR13G1,A
Q8NGZ4,OR2G3,A
Q8NGZ5,OR2G2,A
Q8NGZ6,OR6F1,A
Q8NGZ9,OR2T10,A
Q8NH00,OR2T4,A
Q8NH01,OR2T11,A
Q8NH02,OR2T29,A
Q8NH03,OR2T3,A
Q8NH04,OR2T27,A
Q8NH05,OR4Q3,A
Q8NH06,OR1P1,A
Q8NH07,OR11H2,A
Q8NH08,OR10AC1,A
Q8NH09,OR8S1,A
Q8NH10,OR8U1,A
Q8NH16,OR2L2,A
Q8NH18,OR5J2,A
Q8NH37,OR4C3,A
Q8NH40,OR6S1,A
Q8NH41,OR4K15,A
Q8NH42,OR4K13,A
Q8NH49,OR4X1,A
Q8NH50,OR8K5,A
Q8NH51,OR8K3,A
Q8NH53,OR52N1,A
Q8NH54,OR56A3,A
Q8NH55,OR52E5,A
Q8NH56,OR52N5,A
Q8NH57,OR52P1,A
Q8NH60,OR52J3,A
Q8NH61,OR51F2,A
Q8NH63,OR51H1,A
Q8NH64,OR51A7,A
Q8NH67,OR52I2,A
Q8NH70,OR4A16,A
Q8NH72,OR4C6,A
Q8NH73,OR4S2,A
Q8NH74,OR10A6,A
Q8NH76,OR56B4,A
Q8NH79,OR6X1,A
Q8NH80,OR10D3,A
Q8NH81,OR10G6,A
Q8NH83,OR4A5,A
Q8NH89,OR5AK3P,A
Q8NH90,OR5AK2,A
Q8NH93,OR1L3,A
Q8NH95,OR13C6P,A
Q8NHA4,OR2AE1,A
Q8NHA6,OR2W6P,A
Q8NHA8,OR1F12P,A
Q8NHB1,OR2V1,A
Q8NHB7,OR5K1,A
Q8NHB8,OR5K2,A
Q8NHC5,OR14A16,A
Q8NHC6,OR14L1,A
Q8NHC7,OR14C36,A
Q8TDU5,VN1R17P,A
Q8WZ92,OR5P2,A
Q96LB0,MRGPRX3,A
Q96P67,GPR82,A
Q96P88,GNRHR2,A
Q96R08,OR5B12,A
Q96R09,OR5B2,A
Q96R27,OR2M4,A
Q96R28,OR2M2,A
Q96R30,OR2V2,A
Q96R45,OR2A7,A
Q96R47,OR2A14,A
Q96R54,OR14A2,A
Q96R67,OR4C12,A
Q96R69,OR4F4,A
Q96R72,OR4K3,A
Q96R84,OR1F2P,A
Q96RB7,OR5M11,A
Q96RC9,OR8B4,A
Q96RD0,OR8B2,A
Q96RD1,OR6C1,A
Q96RD2,OR52B2,A
Q96RD3,OR52E6,A
Q99463,NPY6R,A
Q99679,GPR21,A
Q99680,GPR22,A
Q9BXE9,VN1R3,A
Q9GZK3,OR2B2,A
Q9GZK7,OR11A1,A
Q9H2C5,OR52A5,A
Q9H2C8,OR51V1,A
Q9H343,OR51I1,A
Q9H344,OR51I2,A
Q9H346,OR52D1,A
Q9NS67,GPR27,A
Q9NZP0,OR6C3,A
Q9NZP2,OR6C2,A
Q9NZP5,OR5AC2,A
Q9P1P4,TAAR3P,A
Q9P1P5,TAAR2,A
Q9P1Q5,OR1A1,A
Q9UGF5,OR14J1,A
Q9UGF6,OR5V1,A
Q9UGF7,OR12D3,A
Q9Y3N9,OR2W1,A
Q9Y4A9,OR10H1,A
Q9Y5P0,OR51B4,A
A0A096LPK9,OR4N4C,A
A0A0X1KG70,OR4M2B,A
P0C7N5,OR8U9,A
P0C7N8,OR9G9,A
P0DSN6,TAS2R33,A
P0DTE0,TAS2R36,A
Q8NH21,OR4F5,A
