uniprot_accession,uniprot_id,gene_name,protein_name,organism,sequence_length,uniprot_orphan_status,uniprot_ligand_info,iuphar_target_id,iuphar_name,iuphar_is_orphan,consensus_status,date_retrieved
Q14416,GRM2_HUMAN,GRM2,Metabotropic glutamate receptor 2,,872,cognate,"Mechanistically, ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase.",290,mGlu2 receptor,0,cognate,2026-05-05
Q15077,P2RY6_HUMAN,P2RY6,P2Y purinoceptor 6,,328,unknown,,326,P2Y6 receptor,0,cognate,2026-05-05
Q5NUL3,FFAR4_HUMAN,FFAR4,Free fatty acid receptor 4,,361,unknown,,127,FFA4 receptor,0,cognate,2026-05-05
Q6U736,OPN5_HUMAN,OPN5,Opsin-5,,354,unknown,,161,OPN5,1,orphan,2026-05-05
Q8IYL9,GPR65_HUMAN,GPR65,G-protein coupled receptor 65,,337,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:15326175, PubMed:15618224, PubMed:37722051, PubMed:39753132).",113,GPR65,1,orphan,2026-05-05
Q8IZF3,AGRF4_HUMAN,ADGRF4,Adhesion G protein-coupled receptor F4,,695,orphan,,195,ADGRF4,1,orphan,2026-05-05
Q8N6U8,GP161_HUMAN,GPR161,G-protein coupled receptor 161,,529,unknown,Its ligand is unknown (By similarity),141,GPR161,1,orphan,2026-05-05
Q8NHC4,O10J5_HUMAN,OR10J5,Olfactory receptor 10J5,,309,unknown,,,,,unknown,2026-05-05
Q8TDU6,GPBAR_HUMAN,GPBAR1,G-protein coupled bile acid receptor 1,,330,unknown,,37,GPBA receptor,0,cognate,2026-05-05
Q8WXG9,AGRV1_HUMAN,ADGRV1,Adhesion G-protein coupled receptor V1,,6306,unknown,,189,ADGRV1,1,orphan,2026-05-05
Q92633,LPAR1_HUMAN,LPAR1,Lysophosphatidic acid receptor 1,,364,cognate,,272,LPA1 receptor,1,orphan,2026-05-05
Q96K78,AGRG7_HUMAN,ADGRG7,Adhesion G-protein coupled receptor G7,,797,orphan,,201,ADGRG7,1,orphan,2026-05-05
Q96KK4,O10C1_HUMAN,OR10C1,Olfactory receptor 10C1,,312,unknown,,,,,unknown,2026-05-05
Q96P65,QRFPR_HUMAN,QRFPR,Pyroglutamylated RF-amide peptide receptor,,431,unknown,,333,QRFP receptor,0,cognate,2026-05-05
Q99705,MCHR1_HUMAN,MCHR1,Melanin-concentrating hormone receptor 1,,353,unknown,,280,MCH1 receptor,0,cognate,2026-05-05
Q9BXA5,SUCR1_HUMAN,SUCNR1,Succinate receptor 1,,334,unknown,"Mediates succinate triggered intracelleular calcium mobilization, induces migratory responses and acts in synergy with Toll-like receptor ligands for the production of proinflammatory cytokines as well as an enhancement of antigen-specific activation of helper T cells (PubMed:18820681).",166,succinate receptor,0,cognate,2026-05-05
Q9BY15,AGRE3_HUMAN,ADGRE3,Adhesion G protein-coupled receptor E3,,652,orphan,A ligand for the soluble form of this receptor is present at the surface of monocytes-derived macrophages and activated neutrophils,184,ADGRE3,1,orphan,2026-05-05
Q9H244,P2Y12_HUMAN,P2RY12,P2Y purinoceptor 12,,342,cognate,,328,P2Y12 receptor,0,cognate,2026-05-05
Q9H3N8,HRH4_HUMAN,HRH4,Histamine H4 receptor,,390,unknown,Ligand binding induces a conformation change that triggers signaling via G(i)/GNAI1 leading to decreased intracellular cAMP levels by inhibiting adenylate cyclase activity (PubMed:39333117).,265,H4 receptor,0,cognate,2026-05-05
Q9NPB9,ACKR4_HUMAN,ACKR4,Atypical chemokine receptor 4,,350,unknown,"Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Chemokine-binding does not activate G-protein-mediated signal transduction but instead induces beta-arrestin recruitment, leading to ligand internalization.",315,ACKR4,0,cognate,2026-05-05
Q9NPC1,LT4R2_HUMAN,LTB4R2,Leukotriene B4 receptor 2,,358,unknown,,268,BLT2 receptor,0,cognate,2026-05-05
Q9NYM4,GPR83_HUMAN,GPR83,G-protein coupled receptor 83,,423,unknown,,119,GPR83,1,orphan,2026-05-05
Q9NYQ7,CELR3_HUMAN,CELSR3,Cadherin EGF LAG seven-pass G-type receptor 3,,3312,unknown,,180,CELSR3,1,orphan,2026-05-05
Q9NZD1,GPC5D_HUMAN,GPRC5D,G-protein coupled receptor family C group 5 member D,,345,unknown,,261,GPRC5D,1,orphan,2026-05-05
Q9ULV1,FZD4_HUMAN,FZD4,Frizzled-4,,537,unknown,,232,FZD4,1,orphan,2026-05-05
Q9Y5X5,NPFF2_HUMAN,NPFFR2,Neuropeptide FF receptor 2,,522,unknown,Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands.,301,NPFF2 receptor,0,cognate,2026-05-05
Q9Y653,AGRG1_HUMAN,ADGRG1,Adhesion G-protein coupled receptor G1,,693,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as RhoA pathway (PubMed:28874577, PubMed:35418682, PubMed:39389061). Ligand-binding also induces cell adhesion activity via association with proteins such as collagen III/COL3A1 and TGM2 (By similarity).",186,ADGRG1,1,orphan,2026-05-05
O00144,FZD9_HUMAN,FZD9,Frizzled-9,,591,unknown,,237,FZD9,1,orphan,2026-05-05
O15529,GPR42_HUMAN,GPR42,G-protein coupled receptor 42,,346,unknown,,228,GPR42,1,orphan,2026-05-05
O15552,FFAR2_HUMAN,FFAR2,Free fatty acid receptor 2,,330,unknown,,226,FFA2 receptor,0,cognate,2026-05-05
O43614,OX2R_HUMAN,HCRTR2,Orexin receptor type 2,,444,cognate,"Upon neuropeptide ligand binding, HCRTR2 can couple with both G(q)/11 and G(i)/o heterotrimeric G-proteins thereby initiating distinct downstream signaling cascades (PubMed:35614071).",322,OX2 receptor,0,cognate,2026-05-05
O75473,LGR5_HUMAN,LGR5,Leucine-rich repeat-containing G-protein coupled receptor 5,,907,unknown,,148,LGR5,0,cognate,2026-05-05
O75899,GABR2_HUMAN,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2,,941,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase (PubMed:10075644, PubMed:10773016, PubMed:24305054).",241,GABAB2,1,orphan,2026-05-05
P08100,OPSD_HUMAN,RHO,Rhodopsin,,348,cognate,,2963,Rhodopsin,1,orphan,2026-05-05
P08173,ACM4_HUMAN,CHRM4,Muscarinic acetylcholine receptor M4,,479,unknown,,16,M4 receptor,0,cognate,2026-05-05
P08908,5HT1A_HUMAN,HTR1A,5-hydroxytryptamine receptor 1A,,422,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:22957663, PubMed:3138543, PubMed:33762731, PubMed:8138923, PubMed:8393041).",1,5-HT1A receptor,0,cognate,2026-05-05
P08912,ACM5_HUMAN,CHRM5,Muscarinic acetylcholine receptor M5,,532,unknown,,17,M5 receptor,0,cognate,2026-05-05
P18089,ADA2B_HUMAN,ADRA2B,Alpha-2B adrenergic receptor,,450,unknown,,26,&alpha;2B-adrenoceptor,0,cognate,2026-05-05
P21731,TA2R_HUMAN,TBXA2R,Thromboxane A2 receptor,,343,unknown,,346,TP receptor,0,cognate,2026-05-05
P22888,LSHR_HUMAN,LHCGR,Lutropin-choriogonadotropic hormone receptor,,699,unknown,,254,LH receptor,0,cognate,2026-05-05
P25021,HRH2_HUMAN,HRH2,Histamine H2 receptor,,359,unknown,,263,H2 receptor,1,orphan,2026-05-05
P25100,ADA1D_HUMAN,ADRA1D,Alpha-1D adrenergic receptor,,572,cognate,"ADRA1D binds the catecholamine ligands norepinephrine and epinephrine (PubMed:7815325, PubMed:8024574, PubMed:8183249)",24,&alpha;1D-adrenoceptor,0,cognate,2026-05-05
P28566,5HT1E_HUMAN,HTR1E,5-hydroxytryptamine receptor 1E,,365,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:14744596, PubMed:1513320, PubMed:1608964, PubMed:1733778, PubMed:21422162, PubMed:33762731).",4,5-ht1e receptor,0,cognate,2026-05-05
P30518,V2R_HUMAN,AVPR2,Vasopressin V2 receptor,,371,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (cAMP) (PubMed:33664408, PubMed:33742150).",368,V2 receptor,0,cognate,2026-05-05
P30550,GRPR_HUMAN,GRPR,Gastrin-releasing peptide receptor,,384,unknown,,39,BB2 receptor,0,cognate,2026-05-05
P30874,SSR2_HUMAN,SSTR2,Somatostatin receptor type 2,,369,unknown,,356,SST2 receptor,0,cognate,2026-05-05
P32249,GP183_HUMAN,GPR183,G-protein coupled receptor 183,,361,cognate,"Mediates cell positioning and movement of a number of cells by binding the 7-alpha,25-OHC ligand that forms a chemotactic gradient (By similarity). Also acts as a chemotactic receptor for some T-cells upon binding to 7-alpha,25-OHC ligand (By similarity). Promotes follicular helper T (Tfh) cells differentiation by positioning activated T-cells at the follicle-T-zone interface, promoting contact of newly activated CD4 T-cells with activated dendritic cells and exposing them to Tfh-cell-promoting inducible costimulator (ICOS) ligand (By similarity).",81,GPR183,0,cognate,2026-05-05
P33032,MC5R_HUMAN,MC5R,Melanocortin receptor 5,,325,cognate,,286,MC5 receptor,0,cognate,2026-05-05
P35346,SSR5_HUMAN,SSTR5,Somatostatin receptor type 5,,364,unknown,,359,SST5 receptor,0,cognate,2026-05-05
P41143,OPRD_HUMAN,OPRD1,Delta-type opioid receptor,,372,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase.",317,&delta; receptor,0,cognate,2026-05-05
P41180,CASR_HUMAN,CASR,Extracellular calcium-sensing receptor,,1078,cognate,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G-proteins) and modulates the activity of downstream effectors (PubMed:38632411).,54,CaS receptor,0,cognate,2026-05-05
P41231,P2RY2_HUMAN,P2RY2,P2Y purinoceptor 2,,377,unknown,,324,P2Y2 receptor,0,cognate,2026-05-05
P41587,VIPR2_HUMAN,VIPR2,Vasoactive intestinal polypeptide receptor 2,,438,unknown,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors.,372,VPAC2 receptor,0,cognate,2026-05-05
P46093,GPR4_HUMAN,GPR4,G-protein coupled receptor 4,,362,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:39753132, PubMed:40211064, PubMed:40215960).",84,GPR4,1,orphan,2026-05-05
P47872,SCTR_HUMAN,SCTR,Secretin receptor,,440,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and activates cAMP-dependent pathway (PubMed:32811827, PubMed:33008599).",252,secretin receptor,0,cognate,2026-05-05
P48546,GIPR_HUMAN,GIPR,Gastric inhibitory polypeptide receptor,,466,unknown,,248,GIP receptor,0,cognate,2026-05-05
P49286,MTR1B_HUMAN,MTNR1B,Melatonin receptor type 1B,,362,cognate,,288,MT2 receptor,0,cognate,2026-05-05
P49683,PRLHR_HUMAN,PRLHR,Prolactin-releasing peptide receptor,,370,unknown,,337,PrRP receptor,0,cognate,2026-05-05
P51677,CCR3_HUMAN,CCR3,C-C chemokine receptor type 3,,355,unknown,Ligand binding triggers intracellular signaling that leads to chemotaxis of immune cells.,60,CCR3,0,cognate,2026-05-05
P51685,CCR8_HUMAN,CCR8,C-C chemokine receptor type 8,,355,unknown,,65,CCR8,0,cognate,2026-05-05
P51810,GP143_HUMAN,GPR143,G-protein coupled receptor 143,,404,unknown,"After binding to L-DOPA, stimulates Ca(2+) influx into the cytoplasm, increases secretion of the neurotrophic factor SERPINF1 and relocalizes beta arrestin at the plasma membrane; this ligand-dependent signaling occurs through a G(q)-mediated pathway in melanocytic cells.",203,GPR143,0,cognate,2026-05-05
P61073,CXCR4_HUMAN,CXCR4,C-X-C chemokine receptor type 4,,352,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:16725153, PubMed:17197449, PubMed:18799424, PubMed:39093700).",71,CXCR4,0,cognate,2026-05-05
Q13304,GPR17_HUMAN,GPR17,Uracil nucleotide/cysteinyl leukotriene receptor,,367,unknown,,88,GPR17,0,cognate,2026-05-05
Q13585,MTR1L_HUMAN,GPR50,Melatonin-related receptor,,617,unknown,,107,GPR50,1,orphan,2026-05-05
Q5T6X5,GPC6A_HUMAN,GPRC6A,G-protein coupled receptor family C group 6 member A,,926,unknown,"Receptor activated by multiple ligands, including osteocalcin (BGLAP), basic amino acids, and various cations (PubMed:15576628). Regulates testosterone production by acting as a ligand for uncarboxylated osteocalcin hormone: osteocalcin-binding at the surface of Leydig cells initiates a signaling response that promotes the expression of enzymes required for testosterone synthesis in a CREB-dependent manner (By similarity).",55,GPRC6,0,cognate,2026-05-05
Q6PRD1,GP179_HUMAN,GPR179,Probable G-protein coupled receptor 179,,2367,orphan,,211,GPR179,1,orphan,2026-05-05
Q86SM8,MRGRE_HUMAN,MRGPRE,Mas-related G-protein coupled receptor member E,,312,unknown,,153,MRGPRE,1,orphan,2026-05-05
Q86Y34,AGRG3_HUMAN,ADGRG3,Adhesion G protein-coupled receptor G3,,549,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:33408414).",188,ADGRG3,1,orphan,2026-05-05
Q8IWK6,AGRA3_HUMAN,ADGRA3,Adhesion G protein-coupled receptor A3,,1321,orphan,,199,ADGRA3,1,orphan,2026-05-05
Q8IZ08,GP135_HUMAN,GPR135,G-protein coupled receptor 135,,494,orphan,,129,GPR135,1,orphan,2026-05-05
Q8IZF6,AGRG4_HUMAN,ADGRG4,Adhesion G-protein coupled receptor G4,,3080,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (By similarity).",192,ADGRG4,1,orphan,2026-05-05
Q8NFJ5,RAI3_HUMAN,GPRC5A,Retinoic acid-induced protein 3,,357,orphan,,258,GPRC5A,1,orphan,2026-05-05
Q8TDS7,MRGRD_HUMAN,MRGPRD,Mas-related G-protein coupled receptor member D,,321,cognate,"Activated by various ligands, such as beta-alanine, beta-aminoisobutyrate, angiotensin 1-7, alamandine and allantoin, causing a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:15037633, PubMed:23091359, PubMed:35840655, PubMed:39580805).",152,MRGPRD,0,cognate,2026-05-05
Q8WXD0,RXFP2_HUMAN,RXFP2,Relaxin receptor 2,,754,unknown,,352,RXFP2,0,cognate,2026-05-05
Q9BZJ8,GPR61_HUMAN,GPR61,G-protein coupled receptor 61,,451,unknown,,110,GPR61,1,orphan,2026-05-05
Q9NYV8,T2R14_HUMAN,TAS2R14,Taste receptor type 2 member 14,,317,cognate,,668,TAS2R14,1,orphan,2026-05-05
Q9NZH0,GPC5B_HUMAN,GPRC5B,G-protein coupled receptor family C group 5 member B,,403,unknown,,259,GPRC5B,1,orphan,2026-05-05
Q9UNW8,GP132_HUMAN,GPR132,Probable G-protein coupled receptor 132,,380,unknown,,128,GPR132,0,cognate,2026-05-05
Q9Y271,CLTR1_HUMAN,CYSLTR1,Cysteinyl leukotriene receptor 1,,337,unknown,,269,CysLT1 receptor,0,cognate,2026-05-05
O00222,GRM8_HUMAN,GRM8,Metabotropic glutamate receptor 8,,908,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase.",296,mGlu8 receptor,0,cognate,2026-05-05
O00270,GPR31_HUMAN,GPR31,"12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor",,319,unknown,,98,GPR31,1,orphan,2026-05-05
O00590,ACKR2_HUMAN,ACKR2,Atypical chemokine receptor 2,,384,unknown,"Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis (PubMed:18201974, PubMed:20373092, PubMed:23479571). Upon active ligand stimulation, activates a beta-arrestin 1 (ARRB1)-dependent, G protein-independent signaling pathway that results in the phosphorylation of the actin-binding protein cofilin (CFL1) through a RAC1-PAK1-LIMK1 signaling pathway (PubMed:23633677).",314,ACKR2,1,orphan,2026-05-05
O14842,FFAR1_HUMAN,FFAR1,Free fatty acid receptor 1,,300,unknown,"Ligand binding leads to a conformation change that triggers signaling via G-proteins that activate phospholipase C, leading to an increase of the intracellular calcium concentration.",225,FFA1 receptor,0,cognate,2026-05-05
O43193,MTLR_HUMAN,MLNR,Motilin receptor,,412,unknown,,297,motilin receptor,0,cognate,2026-05-05
O43613,OX1R_HUMAN,HCRTR1,Orexin/Hypocretin receptor type 1,,425,cognate,,321,OX1 receptor,0,cognate,2026-05-05
O43749,OR1F1_HUMAN,OR1F1,Olfactory receptor 1F1,,312,unknown,,,,,unknown,2026-05-05
O60241,AGRB2_HUMAN,ADGRB2,Adhesion G protein-coupled receptor B2,,1585,unknown,,175,ADGRB2,1,orphan,2026-05-05
O60755,GALR3_HUMAN,GALR3,Galanin receptor type 3,,368,unknown,,245,GAL3 receptor,0,cognate,2026-05-05
O60883,G37L1_HUMAN,GPR37L1,G-protein coupled receptor 37-like 1,,481,unknown,,104,GPR37L1,0,cognate,2026-05-05
O75084,FZD7_HUMAN,FZD7,Frizzled-7,,574,unknown,"Following ligand activation, binds to CCDC88C/DAPLE which displaces DVL1 from FZD7 and leads to inhibition of canonical Wnt signaling, activation of G-proteins by CCDC88C and triggering of non-canonical Wnt responses (PubMed:26126266).",235,FZD7,1,orphan,2026-05-05
O94910,AGRL1_HUMAN,ADGRL1,Adhesion G protein-coupled receptor L1,,1474,cognate,,206,ADGRL1,1,orphan,2026-05-05
P04000,OPSR_HUMAN,OPN1LW,Long-wave-sensitive opsin 1,,364,unknown,,2961,OPN1LW,1,orphan,2026-05-05
P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor,,443,unknown,,215,D2 receptor,0,cognate,2026-05-05
P21452,NK2R_HUMAN,TACR2,Substance-K receptor,,398,unknown,,361,NK2 receptor,0,cognate,2026-05-05
P21917,DRD4_HUMAN,DRD4,D(4) dopamine receptor,,419,cognate,,217,D4 receptor,0,cognate,2026-05-05
P25024,CXCR1_HUMAN,CXCR1,C-X-C chemokine receptor type 1,,350,unknown,,68,CXCR1,0,cognate,2026-05-05
